User,Tweet
Deepspeaks_,final elect campaign come end winner elect commiss rule pm parti nda talk report card vision develop less opposit looser royal gandhi upa agenda modi hatao loksabhaelect
MServe2grow,modi big hit big miss 😍 period narendramodi amitshah rahulgandhi priyankagandhi jmscindia sachinpilot rahulgandhi pressmeet presidentkovind modiobsess elect electioncommiss electionnewstrack bengalburn rss
umakantsingh_IN,bjp notcross evencongresscertainli bjpget absolut major exit pollsthey modi rahul mediathought media duetheir dishonestybut honestaspart bjpcongressnot medialoksabhaelect modionbharat pressmeet pressconfer
arunjitmanna,amitshah mahatma gandhi vidyasagar statu damag would costli india decid loksabhaelect truli seriou remov candid prevent damag th phase sir suggest normal citizen india decid loksabhaelect
deepanshah13,rahulgandhi watch press meet bjpindia observ one thing press meet bjp question answer parti presid amit shah narendramodi never understand indiafirst
nallaganesh,theskindoctor gandhi gods oooph dont even rememb day use featurephon nokia 😖 loksabhaelect
manishbpl1,modihaitohgodsehai modifloppressconfer pressconfer host bjp head amitshah attend media also narendramodi 😊😊 narendramodi amitshah rahulgandhi incindia bjpindia bainjal shatrugansinha yadavtejashwi omarabdullah bjpindia
ojhaanjali,meanwhil bjp distanc pragya thakur statement gandhi pm condemn bjp presid amitshah said dont regret give ticket call satyagraha theori hinduterror
sushrut_oza,rahul gave answer press confer modi gave answer press confer media talk modi silenc n one talk rahul answer pressmeet narendramodi pressconfer loksabhaelect
agneeesh,person happi rahul ji stop lie scindia enjoy loksabhaelect
SandipGhose,indianpolit incindia rahulgandhi pleas read tl right listen rahulgandhi press confer keep count mani time took narendramodi name think that modi didnt need speak rahul gandhi talk touch modipressconfer
chetan_chh,rahulgandhi use make funni correl kid strang contend prime minist post need grow cut alltim baseless antimodi sarcasm want peopl take u serious pmo narendramodi
trilokchandanik,racr rahulgandhi ok pappu press confer behalf bjp nationalist peopl r ask que pappu r readi mr pappu
sanjayg_01,indiatoday rahulgandhi take great courag face pressconfer even belong dalalmedia one wrong answer build card crash right rahulgandhi modi coward
vivekchoubey19,final got bjp rss godk lover gods lover rahulgandhi keshavyadaviyc anandmanjeet drmadanmohanjha rahulgandhi iyc incindia srinivasiyc shaktisinhgohil shatrugansinha allavaru iyrajesh deepakkhatri gunjn amitabhushan
gowri_gowd,great relief indian elect canvass came end ofcours last phase poll greatest truth reveal campaign bjp modi carri lord shri ram lip nathuram heart rest know incindia rahulgandhi
ravirao83,indiatoday rahulgandhi give rahul credit hard campaign ensur congressmuktbharat time nice vacat loksabhaelect
05Srikkanth,need engin viva friend like amit shah get friend like rahul gandhi pressconfer modi loksabhaelect
Awhadspeaks,rahulgandhi salut rahulgandhi u fought like warrior respect valu democraci u enjoy everi bit campaign never got trap modi bjp b seen
SocioPoliticalW,new word field journal pressdarshan event journalist invit show darshan bodi live person amp allow ask direct question person pressconfer modi amitshah rahulgandhi loksabhaelect
Sureshc91120456,rahulgandhi next prime minist india rahul gandhi inc
indiclogic,rahulgandhi question rahulgandhi press modi confer 😉😂
Satyapriya111,comparison rahulgandhi interview vs narendramodi script farzi interview rahulgandhi far better bold confid real modi seem weak frighten face good report modi real pappu call pappu upcom hero congrat rahul
Vyomnaut,bjp press confer narendramodi amitshah ji talk take countri forward congresss press confer rahulgandhi tri mimicri modi ji differ
sivagirisamy,rahulgandhi real progress rahulgandhi narendramodi incindia bjpindia modi rahulgandhi hraja bjptn drtamilisaibjp
RangamT,rahulgandhi pc said go send journalist narendramodi ji amp amitshah pc bjp hq found door close mean journalist work like puppet amp writ fake stori loksabhaelect
nirmalansun,kamalhaasan bjp congress mnm kamal start bjp show origin face either abl say god sent bad gandhi good modi say word pragya one action real bjp aka rss modihaitohgodsehai
bankasaurabh,modionbharat shit word call press confer pm even took singl question rahulgandhi said correctli modi script interview press confer loksabhaelect modi
vikasmishraa,modi fall trap rahul gandhi first start give interview ralli follow rg attend st pc year without take question media loksabhaelect
Milan_reports,rahulgandhi take candid question last pc excit report bjp got qampa narendramodi 😥 loksabhaelect
kiran_m_kumar,jhasanjay sheebav mahatma gandhi alreadi gone narendramodi us readi lose modi ji thousand modi come nobodi replac narendramodi one primeminist made india proud modi ji apolog anyon
chatteejees,ani truth rahul gandhi congress 😳 joke loksabhaelect 😂
HD_07,talk hypocrisi modi condemn sadhvi pragya statement sadhvi pragya rambl rajiv gandhi last fortnight equal poor leav bad tast mouth elect loksabhaelect
ShaktiShekhar,first bjp chief amit shah amp pm narendra modi address press confer parti hq simultan congress presid rahul gandhi talk media person congress headquart campaign loksabhaelect come end th phase
jyoti_kothari,amitshah given detail elect campaign narendramodi address bjp press confer rahulgandhi also adress congress press confer
editorji,rahul gandhi proud say fought bjp protect nation institut bjp amp rss done success loksabhaelect elect
arunapatel000,ndtv two simultan press confer voic bjp pc rahul gandhi voic share loksabhaelect electionswithnew bjpsedemocracybachao electionswithnew
DonMateo_X14,modi amp rahul press confer time amp media give massiv l know 😂 loksabhaelect
editorji,rahul gandhi elect commiss role bias pm modi say want other penalis say thing appear elect schedul made order enabl modi campaign loksabhaelect elect
editorji,rahul gandhi wont disrespect peopl countri prejudg decid mood nation clear may loksabhaelect elect
Ad_it_ya__,rahul gandhi pc mere se tough question puchat ho modi jee easi question 😂😂😂 rahulgandhi
george_tiji,watch interview mr rahul gandhi look promis wish vision concept propag remain unchang power pass ground implement test rahulgandhi loksabhaelect indiastandstal
TheWhiteTiger_6,man never held press confer hold presser midst sevenphas loksabhaelect matter pm modi see write wall interest sinc simultan rahul baba hold one pm sit silent baffl
Tavysingh,rahul gandhi say matter never talk prime minist parent even theyv done wrong that rahulgandhi narendramodi loksabhaelect
BombayKaBangda,rahulgandhi incindia dismantl power modi go shout chowkidar anywher india repli chor hai loksabhaelect
editorji,rahul gandhi even pm parent someth wrong principl never speak ill pm want say someth parent whatev want loksabhaelect elect
Tavysingh,rahul gandhi take potshot pm modi wonder modi think plane etc weather cloudi rain unfair media ask soft question pm loksabhaelect
editorji,rahul gandhi pm first ever press confer first time everyth glad pm modi decid talk press loksabhaelect elect
BombayKaBangda,rahulgandhi role ec elect bias comparison bw poll fund bjpindia incindia ratio probabl press ask tough question modi rahul take dig modi cloudradar comment loksabhaelect
editorji,rahul gandhi peopl india decid may prime minist dont want comment loksabhaelect elect
MalhotraShivya,impress pm pc rahul gandhi also rain outsid roar cri mannn love loksabhaelect indiaelect
ragingbhool,cant believ still fight gandhi gods peopl hell bent idol murder dont import elect issu fight loksabhaelect gods
Basant_Nextgen,rahulgandhi come one rahul ji accept challang modi parent amp famili
dharam_vir_uk,priyankagandhi ask special abl man sit besid ralli must miss dear bail brother rahulgandhi much due hectic campaign deshkagauravmodi abkibaarpaar modihiaayega priyankagandhi rahulgandhi bjp
AishPaliwal,loksabhaelect someth brew opposit tri get togeth abhishek manu singhvi amp chandrababu naidu meet moment chandrababu naidu come ec meet get chandrababu naidu also seek appoint sonia gandhi
ramanrockzz1,thewirein khanumarfa rahulgandhi must cram everyth rahul gandhi without script joke rahulgandhi
saying_as_it_is,rahulgandhi mean gandhi god god ram lover amp bjp rss ram loversso make gandhi lover least superson brain still fail get listen modionbharat 😉 phase loksabhaelect loksabhaelect
hzlokhandwala,rahulgandhi true loksabhaelect rahulgandhi electionswithnew narendramodi congress bjpsupportsterrorist bjpsedemocracybachao bjp
TheDailyPioneer,rahulgandhi rahulgandhi took swipe bjpindia say bjp rss godk lover gods lover nathuramgods mahatmagandhi bjp
ojhaanjali,bjp presid amitshah congress presid rahulgandhi hold press confer nation capit loksabhaelect
NaxatraNewsOdia,bjp suspend anil saumitra call mahatma gandhi father pakistan bjp
amiteshca,sarafnarendra bjpindia shashitharoor rahulgandhi balakv state bjp ideolog unfortun bjp fight elect namo seen anyon ask vote bjp bjp polit wing sangh congress work famili bjp namo work sangh call hindu activist
ThomasJ97585967,wont forgiv pragya insult mahatma gandhi applaud gods modiji comment gods patriot remark pragya next moment modiji ask peopl vote pragyash bjp candid paradox loksabhaelect modili pragya
NishantAvasthi1,pm modi ji absolut right condemn sadhvi pragya remark mahatma gandhi sadhvi inde suffer due present day inc chanc beat tormentor directli pick battl care
iNormanDsouza,narendramodi say never forgiv sadhvipragya insult mahatma gandhi claim gods patriot loksabhaelect
ChandokSumeet,indiandoctor upa chairperson sonia gandhi entrust mp cm kamal nath talk odisha cm naveen patnaik bring upa fold patnaik nath childhood friend sinc day doon school loksabhaelect
AdityaGoswami_,predict loksabhaelect rahul gandhi ji raajyog either king pm kingmak becom pm term life time nda come power either come full major pmmodi gt rajnath singh ji raajyog
