User,Tweet
goswamyanshuman,last day made difficult modi juggernaut keep appear still feel might sneak marathon poll might case littl late loksabhaelect
manonymos,rahulgandhi famous said poverti state mind narendramodi bjp mock look like modi took heart modi visit sever foreign nation use digit camera still talk poor
sumitku69427580,recent talk one rel live kolkata ask elect said yanha p log agar bjp ki baat v kart hain unk sath maar peet ki jaati hai request narendramodi sir seriou issu look
imjassi16,wt diffrnc btwn rahulgandhi amp narendramodi wen sampitroda said hua hua rahulgandhi public ralli said apologis amp nw wen sadhvipragya say nathuramgods deshbhakt modi tell want forgiv jst copycat othr sardesairajdeep abhisarsharma
Charas_Gaanja,rahulgandhi chewtiya pappu doesnt even know diff bw bjp amp govt india head bjp amit shah head govt pm modi press confrenc call bjp govt india 😂😂😂😂😂 loksabhaelect rahulkakindustan
rashidiakmal,modi clear end elect campaign real pappu modi press confer rahulgandhi
Realaamaadmi13,modi year start talk acch din vika end peopl defend gandhi killer godhs pressconfer loksabhaelect modihaitohgodsehai
Shreekant04,narendramodi day campaign report ralli road show pm ralli day twice ralli day take day break singl ralli cancel dhanya modi ki shakti krupa mahadev aur amb ki apnamodiaayega bjp
StartupGiri,rahulgandhi kid grow im tire laugh rahulgandhi congress dear loser incindia plz remov kid presid make new clever presid like aajtak peopl bjpindia amitshah narendramodi bjp
vikshi1311,best thing pm narendramodi narendramodi done debat rahul gandhi hell rahulgandhi entitl dynast sld pm countri debat random person capac want debat isnt even leader opposit
UnawareTrader,toonet agre nehru wouldnt becom pm mohanda gandhi given import gods honor never undermin stoog congress matter faggot bjp
Sajid06khan,win bengal battl narendramodi pmoindia narendramodi loksabhaelect bengal bjp tmc follow fore updat
Agrawal1019,confus coalit even conclud day talk shri modi ji next prime minist entir campaign circl around bogu fanci promis whose financ base present n improv economi led bjp pressmeet
ThisIsMKG_India,modihaitohgodsehai narendramodi abkibaarkiskisarkar bjp fridaythought bengalburn bengal congressmuktbharat much violenc proxi vote kill democraci soul west bengal made pm safeguard hindu right wb
DependraSingh17,kanhaiyakumar pressconfer amit shah wont leav modi alon attend pcbcz know modi creat anoth reason viral blunder like cloud email cameraetc funni peopl pm yaar modihaitohgodsehai gods narendramodi amitshah pragyathakur bjpsupportsterrorist
